timestamp, index, name, memory.used [MiB], memory.free [MiB], utilization.gpu [%]
2026/08/10 16:10:14.359, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:10:14.362, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:10:15.365, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:10:15.368, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:10:16.371, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:10:16.374, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:10:17.377, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:10:17.378, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:10:18.381, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:10:18.382, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:10:19.384, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:10:19.386, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:10:20.388, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:10:20.392, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:10:21.394, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:10:21.398, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:10:22.401, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:10:22.404, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:10:23.407, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:10:23.410, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
